,0,1,2,3,4,5,6,7,8
0,,,Menn=105,,,,Womenn=116,,
1,,Original table,Substituted table,Difference,Difference,Original table,Substituted table,Difference,Difference
2,,Mean (SD),Mean (SD),Crude %,Crude %,Mean(SD),Mean(SD),Crude %,Crude %
3,Energy (kJ/day),9825 (1769),,,,7610 (1312),,,
4,Crude values,,,,,,,,
5,Total fat (g/day),59.1 (10.5),,,,52.9 (9.7),,,
6,Total fatty acids (g/day),43.4 (7.9),51.8 (9.2),8.4,19,38.2 (7.0),46.6 (8.8),8.4,22
7,SFA(g/day),12.7 (3.1),16.1 (3.5),3.3,26,11.4 (2.7),14.9 (3.5),3.6,31
8,MUFA(g/day),16.1 (3.0),19.5 (3.8),3.4,21,14.2 (2.7),17.4 (3.5),3.3,23
9,PUFA(g/day,14.2 (2.8),15.8 (3.0),1.6,11,12.4 (2.4),13.8 (2.6),1.5,12
10,n-3 PUFAg/day,3.1 (0.9),3.5 (0.9),0.4,11,2.7 (0.7),3.0 (0.7),0.3,11
11,n-6 PUFA(g/day),11.0 (2.2),12.2 (2.5),1.2,11,9.6 (1.9),10.8 (2.1),1.1,12
12,P/S ratio,1.15 (0.26),1.01 (0.21),-0.14,-12,1.13 (0.25),0.96 (0.21),-0.17,-15
13,n-6/n-3 ratio,3.68 (0.80),3.68 (0.92),0.00,0,3.70 (0.70),3.75 (0.84),0.05,1
14,Energy density,,,,,,,,
15,Total fat (%E),23.1 (4.4),,,,26.4 (4.1),,,
16,Total fatty acids (%E),16.9 (2.9),20.2 (4.0),3.3,20,19.1 (2.8),23.3 (3.7),4.2,22
17,SFA(%E),4.9(1.0),6.2 (1.3),1.3,27,5.7 (1.2),7.4 (1.5),1.8,31
18,MUFA%E,6.3 (1.2),7.6 (1.6),1.3,21,7.1 (1.2),8.7 (1.6),1.7,23
19,PUFA(%E,5.5 (1.1),6.2 (1.4),0.7,12,6.2 (1.0),6.9 (1.1),0.7,12
20,n-3 PUFA%,1.2 (0.3),1.3 (0.3),0.1,11,1.3 (0.3),1.5 (0.3),0.1,11
21,n-6 PUFA%,4.3 (0.9),4.8 (1.2),0.5,12,4.8 (0.8),5.4 (1.0),0.6,12
22,Percentage of total fat,,,,,,,,
23,Total fatty acids (%),73,88,,,72,88,,
24,SFA(%),22,27,,,21,28,,
25,MUFA (%),27,33,,,27,33,,
26,PUFA(%),24,27,,,23,26,,
27,n-3 PUFA(%),5,6,,,5,6,,
28,n-6 PUFA (%),19,21,,,18,20,,
