,0,1,2,3,4,5
0,,,,Age range (years),,
1,Nutrient (units day),18-29,30-49,,50-69,70 and over
2,Energy (kcal),2050,2000,,1900,1700
3,Protein (g),55,55,,55,55
4,Lipid (g),38-57,38-57,38-57,38-57,38-57
5,Dietary fibre (g),17-20.5,17-20.5,17-20.5,17-20.5,17-20.5
6,Minerals,,,,,
7,P (mg),600,600,,600,600
8,P (mg),700,12,,12,700
9,Fe (mg),12,12,,2000,10
10,K(mg),2000,2000,,2000,2000
11,NaCI* (g),<10,<10,,<10,<10
12,Vitamins,,,,,
13,Vitamin A (g RE),540-1500,540-1500,540-1500,540-1500,540-1500
14,"Vitamin B, (mg)",0.8,0.8,,0.8,0.8
15,Vitamin B2 (mg),1.0,1.0,,1.0,1.0
16,Vitamin C (mg),13-30,100,,13-30,13-30
17,Niacin (mg),13-30,13-30,13-30,13-30,13-30
