,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,TFT,210,0-0,1.10,0.0,,110,,,,,8.0,,
1,Rpmod,,2.12,0.0,3-11,13,19,170,t-4,210,,2,t4,,180
2,,LTT,6.61,2.12,4.5,6-01,,,,,,0,,,
3,,,5.0,115,1.1,5.4,270,0.6,,,,,,,
4,,TFT,,2,0.1,,110,S.8,-,1,,-,9.0,,
5,,,,1-7,2.04,9.9,,2.20,1-0,,0.0,2,0-3,2,480
6,,TPT,,,3,01,,,,,,,,,
7,,,,,81,8.0,000,10,,2.24,,2,9-0,,0-9
8,F88S,,,8.0,,1-7,019,320,-,,-,,,,11
9,F88S,,1-11,1.2,1.14,,520,210,,,,,,,8-0
10,,,2.12,0.1,6-81,911,,,,,1,,2,1-1,2
11,,,,4-0,2.17,811,,310,,,,,,,
12,,,0.0,1.1T,90,,104,,1,,,,,,
13,,,0.2,6-01,8.0,2.0,08,,,,,,,,0-0
14,,,1.4,,,,,0-11,-,,,,,S.0,2.27
15,,,t.0,,44,8.6,,,,,0.0,0,,,30
16,,,,,,3x/fW,Bx/Bu,By/Bw,3x/Bu,3x/3u,Bx/BW,Bx/BW,3x/3W,Bx/Bw,Bx/Bu
17,,,,HDI,,,,,,,,,,,
