,0,1,2,3,4,5
0,Encuesta,Instituciones y/u organismos,Nivel,Fecha,Objetivo principal,TCA/BDCA
1,,involucrados,,,,
2,Ingesta Nacional de,Agencia Espanola de,Nacional,2009y 2012,Evaluar el estado nutricional,BEDCA (2010
3,"Ingesta Dietetica (ENIDE,",Seguridad Alimentaria y,,,de la poblacion adulta,
4,2013),Nutricion (AESAN),,,espanola,
5,Valoracion Nutricional de,"Ministerio de Agricultura,",Nacional,2007y 2008,Evaluar el consumo de,Moreiras Varela et al.
6,la Dieta Espanola de,Alimentacion y Medio,,2000-2006,alimentos y bebidas de la,(201045
7,acuerdo con el Panel de,Ambiente (antes MARM y,,,"poblacion adulta espanola,",Moreiras Varela et al.
8,Consumo Alimentario,MAPA);FEN,,,tanto a nivel de hogar como,(2006)46
9,,,,,fuera del hogar,
10,Encuesta Nacional de,"AECOSAN,dentro del marco",Nacional,2012-2015,Conocer con exactitud el,Ortega et al. (2010)47
11,Alimentacion en La,europeo y cofinanciado por,,,tipo y cantidad de alimentos,Ortega et al.(201348
12,poblacion Infantil y,la EFSA,,,que consumen los ninos y,
13,Adolescente (ENALIA,,,,adolescentes para valorar la,
14,,,,,ingesta de nutrientes,
15,,,,,y para investigar la,
16,,,,,exposicion a otras sustancias,
17,,,,,potencialmente peligrosas,
18,,,,,contenidas en los alimentos,
19,Encuesta Nacional de,"AECOSAN,dentro del marco",Nacional,2013-2015,Continuacion del estudio,Ortega et al. (201047
20,Alimentacion en La,europeo y cofinanciado por,,,ENALIA realizado en,Ortega et al.(201348
21,"poblacion adulta,mayores",la EFSA,,,poblacion infantil y,
22,y embarazadas (ENALIA 2),,,,adolescente e incluye,
23,,,,,poblacion adulta,
24,Valoracion del Estado,Instituto de Nutricion y,Regional,2000,Conocer el estado,Mataix-Verdu et al.
25,Nutricional de la,Tecnologia de Alimentos,(Andalucia),,nutricional de la poblacion,(1998)49
26,Comunidad Autonoma de,(INYTA).Departamento de,,,adulta sana,
27,Andalucia,Fisiologia. Universidad,,,,
28,,Granada; Ministerio de,,,,
29,,Sanidad de Andalucia;,,,,
30,,Escuela Andaluza de Salud,,,,
31,,Publica,,,,
32,Enquesta nutricional de,Subdireccion General de,Regional,ENCAT-92:,Evaluar los habitos,ENCAT-02: Farran et al.
33,"Catalunya (ENCAT-92,","Promocion de la Salud,",(Cataluna),1992-1993,"alimentarios, el consumo de",(200323
34,ENCAT-02),Direccion General de Salud,,ENCAT-02:,"alimentos, energia y",
35,,"Publica,Departamento de",,2002-2003,"nutrientes, y el estado",
36,,"Sanidad, Generalitat de",,,nutricional mediante,
37,,Catalunya,,,parametros bioquimicos y,
38,,,,,antropometricos de la,
39,,,,,poblacion adulta,
40,Encuesta de Nutricion y,Departamento de Salud,Regional,1994,Evaluar el estado nutricional,USDA (19925 y otras
41, Salud de la Comunidad,Publica de la Universidad,(Comunidad,,y de salud de la poblacion,bases de datos no
42,Valenciana (1994),Miguel Hernandez; Direccion,Valenciana),,adulta mayor de 14 anos,especificadas
43,,General de Salud Publica.,,,,
44,,Consejeria de Sanidad y,,,,
45,,Consumo de la Generalitat,,,,
46,,Valenciana; Instituto,,,,
47,,Valenciano de Estudios en,,,,
48,,Salud Publica; Instituto,,,,
49,,Valenciano de Estadistica,,,,
50,Encuesta de Nutricion de,Consejeria de Sanidad;FEN,Regional,2009,Conocer los habitos,Moreiras Varela et al.
51,la Comunidad de Madrid,,(Madrid),,alimentarios y evaluar los,(201045
52,(ENUCAM),,,,factores de riesgo ligados al,
53,,,,,modo de vida alimentario,
54,,,,,que pudieran afectar,
55,,,,,negativamente al estado de,
56,,,,,salud,
57,Encuesta de Nutricion,Servicio de Epidemiologia,Regional,2001-2002,Conocer los habitos,Moreiras Varela et al.
58,Infantil de la Comunidad,Direccion General de,(Madrid),,"alimentarios,las",(200151
59,de Madrid,Atencion Primaria.,,,caracteristicas de la dieta y,
60,,Consejeria de Sanidad.,,,el estado nutricional de la,
61,,Comunidad de Madrid,,,poblacion infantil.,
62,,,,,Identificar posibles riesgos,
63,,,,,nutricionales y examinar la,
64,,,,,relacion de la alimentacion,
65,,,,,y nutricion con otras,
66,,,,,caracteristicas y habitos de,
67,,,,,vida relacionados con la,
68,,,,,salud,
