,0,1,2,3,4,5
0,,,Clinical,Publichealth/,,Food
1,Uses,,practice,Education,Research,industry
2,,Estimating/comparing the nutrient content of food,Yes,Yes,Yes,Yes
3,ldentifying sources of particular nutrient,ldentifying sources of particular nutrient,Yes,Yes,Yes,
4,Analysing individual diets,Analysing individual diets,Yes,,Yes,
5,,"Devising special diet for patients (heart, coeliac diseases) - preparing diet",Yes,,,
6,sheets,,,,,
7,Patient information,Patient information,Yes,,,
8,Analysing dietary survey data,Analysing dietary survey data,,Yes,Yes,
9,,Assessing how diet affects health and disease outcome,,Yes,Yes,
10,Devising special diets for epidemiological research,Devising special diets for epidemiological research,,,Yes,
11,Monitoring food and nutrient availability,Monitoring food and nutrient availability,,Yes,,
12,,"Development of dietary guidelines,e.g.for schools",,Yes,,
13,,Implementing and monitoring of food legislation,,Yes,,Yes
14,Consumer information and education,Consumer information and education,,Yes,Yes,Yes
15,Preparing education material,Preparing education material,,Yes,,
16,Product development and reformation,Product development and reformation,,,,Yes
17,Food label and nutrition claims,Food label and nutrition claims,,,,Yes
18,Marketing of products,Marketing of products,,,Yes,Yes
19,Recipe and menu development and analysis,Recipe and menu development and analysis,,Yes,Yes,Yes
20,,"Devising special diet for healthy people with particular needs, e.g. athletes",,,Yes,
21,Completing missing values in databases,Completing missing values in databases,Yes,Yes,Yes,Yes
