,0,1,2,3,4,5,6,7
0,Cod.,,Grupo do alimento,Composicao,Fibra,Amido,Vitamina A e,Acidos graxos /
1,,,,centesimal,alimentar,resistente,carotenoides,colesterol
2,A,Cereais e derivados,Cereais e derivados,169,61,42,,13
3,B,Vegetais e derivados,Vegetais e derivados,97,70,74,219,1
4,c,Frutas e derivados,Frutas e derivados,50,30,8,51,8
5,D,Oleos e gorduras,Oleos e gorduras,17,-,,8,16
6,E,Pescados e frutos do mar,Pescados e frutos do mar,67,2,,1,33
7,F,Carnes e derivados,Carnes e derivados,43,-,,-,41
8,G,Leites e derivados,Leites e derivados,82,7,1,5,1
9,J,Ovos,,15,-,1,-,1
10,K,Acucares e doces,Acucares e doces,11,6,,-,3
11,R,Produtos industrializados,Produtos industrializados,139,44,3,6,-
12,S,Produtos preparados,Produtos preparados,6,,-,-,2
13,,Total,,696,226,128,290,77/49
14,,,2002.4,,,,,
