,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,Potatoes,Potatoes,Sugars,,,Nuts,Nuts,,,,,Fish and,,,Milk and,Fat,,,Seasonings,
1,Food groups,(unit),Total,Cereals,and,,and,,Pulses,and,,Vegetables,Fruits,Mushrooms,Seaweed,shellfish,Meat,Eggs,milk,and,Confectionaries,Beverages,and spices,
2,,,,, starches., starches.,sweeteners,sweeteners,,seeds,seeds,,,,,shellfish,,,products,oils,,,and spices,
3,Total intake amount,g,2007,426,,55,,6,61,3,3,271,100,17,11.,68,93,36,129,10,25,603,93,93
4,Energy,kJ,80,-5,,5,,0,2,,,-2,3,0,3,15,70,0,0,1,0,0,-8,-8
5,Energy,kcal,19,-1,,,,0,0,0,0,-1,1,0,,3,17,0,,0,0,,-2,-2
6,Protein,g,1.5,-0.1,,0.1,,0,0.2,,0,0,-0.1,0,0,0,1.3,-0.2,0,0,0,0.1,0.1,0.1
7,Fat,g,1.3,-0.1,,,,0,0,,0,,0,0,,0.3,1.1,0.1,,0,0,0,-0.4,-0.4
8,Saturated fatty acid,,1.58,0.46,,10,,0,0.12,,0,0.02,0.01,0,0.01,0.10,0.88,0.05,0,0.03,0.01,,0.14,0.14
9,Monounsaturated,g,1.59,0.09,,0,,0,0.23,,0,0.01,0,,0,0.13,1.13,0.04,,-,-0.02,0,0.02,
10,fatty acid,g,1.59,0.09,,,,0,0.23,,0,0.01,0,,0,0.13,1.13,0.04,,0.07,-0.02,0,0.02,
11,n-6 fatty acid,,0.63,0.05,,,,0,0.05,,,0.03,0.01,0,,0.03,0.15,0.01,0,0,0.01,0,0.40,0.40
12,n-3 fatty acid,,0.19,,,0,,0,0,,,0.01,0,0,,0.13,0.01,0,,0,,,0.03,0.03
13,Cholesterol,mg,,0,,0,,0,0,,,,0,0,,-1,3,0,,0,0,,0,0
14,Carbohydrate,,0.1,-0.1,,0.2,,0,-0.1,0,0,0.2,0.2,0,0,0,0.1,0,0,0,0,0.1,0.2,0.2
15,Total dietary fibre,,-0.1,-0.1,,-0.1,,0,0,,,0.1,-0.1,0,,0,0,0,,0,0,0.1,0.1,0.1
16,Water-soluble,,0,0,,0,,0,0,,,-0.1,0,,,,0,0,,,,,,0
17,dietary fibre,g,0,0,,0,,0,0,,,-0.1,0,,,0,0,0,,0,,,,0
18,Water-insoluble,,0,0,,0,,0,0,,,0,0.1,,,,0,0,,,,0.1,,0
19, dietary fibre,,0,0,,0,,0,0,,,0,0.1,0,,0,0,0,,0,,0.1,,0
20,Vitamin A,gRE*,30,0,,0,,0,0,,,1,0,0,-1,0,29,3,,0,-3,1,0,0
21,Vitamin D,g,-0.4,0,,0,,0,0,,,0.1,0,-0.2,,-0.1,0,0,,0,0,,0,0
22,Vitamin E,mg,0.1,0,,0,,0,0,,,0,0,0,0,0.1,0.1,0,0,0,-0.1,0,0,0
23,Vitamin K,g,3,,,0,,0,0,,,3,0,0,-2,0,0,1,,0,0,2,0,0
24,Vitamin B1,mg,0.08,0,,0,,0,0,,,0.01,0,0,-0.01,0.01,0.07,,,0,0,,0.01,0.01
25,Vitamin B2,mg,0.02,0,,0,,0,0,,,0,0,0,,0,0.02,0.01,0,0,0,0.01,0.02,0.02
26,Niacin,mg,1.4,0,,0,,0,0,,0,0,0,0,0,0.2,1.0,0,0,0,0,0,,0
