,0,1,2,3,4,5
0,Nutritional program,Author/company,No.of foods Data source,No.of foods Data source,,No.of FCDB/FCT
1,ALIMENTADOR.ES,"Martinez Alvarez JR,",575,European and American,Not specified,Not specified
2,,"Villarino Marin A,Garcia Alcon R",,FCDB/FCT,,
3,,Fernando Martin F.Fundacion,,Proprietary data from,,
4,,Alimentacion Saludable,,food labelling and,,
5,,Supported by the Spanish Society of,,references provided by,,
6,,Dietetics and Food Sciences(SEDCA,,Spanish manufacturers,,
7,,and the Fundacion Alimentacion,,,,
8,,Saludable,,,,
9,DIAL,Universidad Complutense de Madrid,>800,European and,>10,>10
10,,(UCM) and ALCE Ingenieria,,international FCDB/FCT,,
11,"EASYDIET""",Biocentury S.L.U,>700,Spanish FCT: Farran,1,
12,,Designed by Biocentury and the,,et al.200323,,
13,,Spanish Association of,,,,
14,,Dieticians-Nutritionists(AEDN),,,,
15,I-DIET,Gestion de Salud y Nutricion S.L.,700,Spanish FCT:Martin Pena 1,,
16,,,,(1997)21,,
17,NUTRIBER,"Mataix Verdu J,Collado Torreblanca",1100,Spanish FCT:,1,
18,,"F, Dominguez Azpiroz I,et al.",,Mataix-Verdu et al.,,
19,,Fundacion Universitaria,,(2003)30,,
20,,Iberoamericana(FUNIBER),,,,
21,"NUTRISALUD-ALIMENTACION Martinez de Victoria E,Manas","NUTRISALUD-ALIMENTACION Martinez de Victoria E,Manas","1,100",Spanish FCT:,1,
22,Y SALUD,Almendros M.Instituto de Nutricion y,,Mataix-Verdu et al,,
23,,Tecnologia de los Alimentos (INYTA),,"(1993)19,a",,
24,,Universidad de Granada (UGr),,,,
25,"NUTRISOL""",Universidad de Malaga (UMA),>500,Spanish FCT:Moreiras,1,
26,,,,Varela et al.1996)31,,
27,VD-FEN,Fundacion Espanola de Nutricion,>800,Spanish FCT:Moreiras,1,
28,,(FEN).Currently available for,,"Varela et al.199218,b",,
29,,internal use only,,,,
30,PCN Pro v.1.0,"Cantos Lopez D,Farran A,Palma I.",>700,Spanish FCT: Farran,1,
31,,Universidad de Barcelona (UB,,et al.200323,,
32,DIET CREATOR,Redes Liquidas S.L,"50,000",Spanish FCT: Farran,>10,>10
33,,Supported by the Spanish Society of,,et al. (2003)23,,
34,,Dietetics and Food Sciences (SEDCA),,European and American,,
35,,,,FCDB/FCT,,
36,DIETOPRO.COM,Garcia Alejo CG and Actualweb,>800,European and,Not specified,Not specified
37,,Soluciones Informaticas S.L.,,international FCDB/FCT,,
38,EVALFINUT,Fundacion Iberoamericana de,>9000,Spanish FCDB:BEDCA,2,
39,,Nutricion (FINUT),,(2010,,
40,,,,American FCDB:USDA,,
41,,,,(201432,,
42,SATN2014,SATN Nutricion,>1800,Spanish FCT:Requejo,>4,>4
43,,Supported by the Official College of,,and Ortega (1999)33,,
44,,Pharmacists of Madrid (COFM),,American FCDB:USDA,,
45,,,,(1998)34,,
46,,,,"Other documents,such",,
47,,,,as Elmadfa (1991)35 and,,
48,,,,Elmadfa (1997)36,,
49,DIETOWIN 8.0,Biologica Tecnologia Medica S.L.,>1000,American FCDB:USDA,1,
50,,,,(2014)32,,
