,0,1
0,Country,Local Food Composition Tables *
1,,Latin American Network of Food Composition Data System
2,Argentina,
3,,(LATINFOODS)[12]
4,Brazil,Tabela Brasileira de Composicao de Alimentos [13]
5,Chile,Tabla de Composicion Quimica de los Alimentos Chilenos [14]
6,Colombia,"Tabla de Composicion de Alimentos Colombianos [15,16]"
7,Costa Rica,"Tabla de Composicin de Alimentos de Centroamerica [17], Infonut [18]"
8,,"Tabla de Composicion de Alimentos Colombianos [15],Tablas de Uso"
9,Ecuador,"Practico de los Alimentos de Mayor Consumo en Mexico [19],Tablas"
10,,"Peruanas de Composicion de Alimentos [20], Llanos et al. [21]"
11,,Tabla de composicion de alimentos del Instituto de Investigacion
12,Peru,Nutricional [22] (includes the Tablas Peruanas de Composicion de
13,,"Alimentos [20]),"
14,Venezuela,Tabla de Composicion de Alimentos para Uso Practico [23]
