,0,1,2,3
0,Nutrient,EAR*,American (Chilean),British
1,Energykcalday-1,2245,2358 (1941-3434),2250 (1785-3325)
2,Carbohydrates,,,
3,%TEI,60,58.7,57.7
4,g day-1,337.2,351.6 (288.8-513.5),320.0 (250.1-482.2)
5,Protein,,,
6,%TEI,10,,
7,g day,50.2,101.2 (73.1142.7),89.0 (64.2135.1)
8,Total fat,,,
9,%TEI,30,27.9,28.4
10,g day-1,75,73.4 (52.7112.5),72.1 (50.6-103.4)
11,Saturated fatty acids,,,
12,%TEI,12,7.5,8.0
13,g day-1,35,18.1 (12.7-28.8),19.4 (13.1-28.0)
14,Monounsaturated fatty acids,,,
15,%TEI,10,10.3,11.1
16,g day-1,25,25.5 (17.6-42.6),27.4 (18.441.2)
17,Polyunsaturated fatty acids,,,
18,%TEI,6,7.6,7.0
19,g day-1,15,20.9(15.5-31.1),17.3 (12.5-25.3)
20,Vitamin A (g day-1,650,1503 (940-2422),1597(1034-2465)
21,Vitamin C (mg day,25,158.8 (105.1-280.7),152.0 (103.0-266.0)
22,Vitamin E (mg day,5,16.1(13.1-22.8,15.6 (12.4-22.0)
23,Ironmg day-,10.1,18.1 (14.0-25.3),14.6 (11.9-21.3)
24,Magnesium(mg day-1,225,305.5 (216.0-377.4),280.9(189.7-349.6)
25,Selenium (ug day,ND,98.4 (72.4143.2),106.2 (77.9-156.0)
26,Zinc (mg day-1),6.4,8.6 (6.010.7),9.0 (6.311.1)
