,0,1,2,3,4
0,Ano de edicion,Autores,Titulo,Editorial,Referencia
1,1988,"Jimenez Cruz A,",Tabla de composicion,Barcelona:Wander,Jimenez Cruz y
2,,Cervera Ral P,de alimentos,SAE.Las sucesivas,Cervera Ral (1988)17
3,,,,ediciones publicadas,
4,,,,han sido bajo,
5,,,,patrocinio de Wander,
6,,,,posteriormente,
7,,,,Sandoz y finalmente,
8,,,,Novartis,
9,1992,"Moreiras Varela O,",Tablas de,Madrid:Eudema S.A.,Moreiras Varela et al.
10,,"Carbajal A,Cabrera L",composicion de,Se ha publicado una,(199218
11,,,alimentos,edicion actualizada y,
12,,,,ampliada con el,
13,,,,mismo titulo por,
14,,,,Ediciones Piramide,
15,,,,S.A en 1995,
16,1993,"Mataix Verdu J,Manas",Tabla de composicion,Granada:Universidad,Mataix-Verdu et al.
17,,"Almendros M, Llopis",de alimentos,de Granada,(1993)19
18,,"Gonzalez J, Martinez",espanoles,,
19,,de Victoria E,,,
20,1995,"Requejo A,Ortega",Tablas de,Madrid:Ministerio de,Requejo et al.
21,,"RM,Carvajales P",composicion de,Sanidad y Consumo.,(199520
22,,et al.,alimentos espanoles,Secretaria General,
23,,,,Tecnica. Centro de,
24,,,,Publicaciones.La,
25,,,,primera tabla de,
26,,,,composicion de,
27,,,,alimentos elaborada,
28,,,,con el metodo,
29,,,,directo.,
30,1997,Martin Pena G,Tabla de composicion,Madrid:Nutricia,Martin Pena (1997)21
31,,,de alimentos (version,,
32,,,2.1,,
33,1998,"Bello Gutierrez J,",Tablas de,Madrid:Diaz de,Bello Gutierrez et al.
34,,Candela Delgado M,composicion para,Santos,(1998)22
35,,Astiasaran Anchia I,platos cocinados,,
36,2003,"Farran A,Zamora R",Tablas de,Barcelona:Edicions,Farran et al.(200323
37,,Cervera P.,composicion de los,"UB,McGrawHill",
38,,,alimentos del CESNID,Interamericana,
39,2004,"Ortega RM,",La composicion de los,Madrid:Ed.,Ortega et al.200424
40,,"Lopez-Sabaler AM,",alimentos.,Complutense,
41,,"Requejo AM, Andres P",Herramienta basica,,
42,,,para la valoracion,,
43,,,nutricional,,
44,2010,Publicada por la Red,Base de Datos,Coordinada y,Base de Datos
45,,BEDCA del Ministerio,Espanola de,financiada de la,Espanola de
46,,de Ciencia e,Composicion de,Agencia Espanola de,Composicion de
47,,Innovacion,Alimentos (BEDCA),Seguridad Alimentaria,Alimentos (BEDCA)
48,,,version 1.0.,y Nutricion,(20109
49,,,Disponible en:,(AECOSANdel,
50,,,http://www.bedca.net,Ministerio de,
51,,,,"Sanidad, Servicios",
52,,,,Sociales e Igualdad,
