,0,1,2,3,4,5,6
0,,,,Availability:,,Presence of Range of,
1,,,Shortname used,P=printed,Number of,cooked,nutrient
2,Country/year,Name of the food composition tables,in the tables,D=disk,foods/recipes,foods,values
3,Denmark,,,,,,
4,1996-4th ed.,Levnedsmiddeltabeller,DK96,P+D,826,+,+
5,England,,,,,,
6,1991-5th ed,McCance and Widdowson's The composition of foods,GB 91,P+D,1188,+,
7,9 supplements:,,,,,,
8,1988-4th ed,"Cereals and Cereal products,third supplement",GB cereal,P+D,360,+,
9,1989-4th ed,"Milk products and Eggs, fourth supplement",GB milk,P+D,335,+,
10,1991-4th ed,"Vegetables,Herbs and Spices,fifth supplement",GB veg,P+D,463,+,
11,1992-5th ed,"Fruits and Nuts, first supplement",GB fruit,P+D,340,+,
12,1992-5th ed,"Vegetable dishes, second supplement",GB vdish,P+D,347,+,
13,1993-5th ed,"Fish and Fish products, third supplement",GB fish,P+D,308,+,
14,1994-5th ed,"Miscellaneous Foods, fourth supplement",GB foods,P+D,418,+,
15,1995-5th ed,"Meat,Poultry and Game, fifth supplement",GB meat,P+D,429,+,
16,1996-5th ed,"Meat products and dishes, supplement, sixth supplement",GB mdish,P+D,286,+,
17,France,,,,,,
18,1995-2nd ed,Repertoire general des aliments,F 95,P+D,800,+,
19,3 supplements:,,,,,,
20,1987-1st ed,Repertoire general des aliments - Tome 1-,F fat,P,83,,+
21,,Table de composition des corps gras,,,,,
22,1987-1st ed,Repertoire general des aliments - Tome 2 -,F milk,P,110,,+
23,,Table de composition des produits laitiers,,,,,
24,1993-1st ed,Repertoire general des aliments - Tome 3 -,F fruit,P,186,,+
25,,"Table de composition des  Fruits exotiques, fruits de",,,,,
26,,cueillette d'Afrique,,,,,
27,Germany,,,,,,
28,1979,Energie und Nahstoffgehalt von Lebensmitteln,D 79,P,841,+,
29,1992,Nutrition composition tables of milk and dairy products,D milk,P,930,,
30,1993,Nahstoffe in Lebensmittel,D 93,P,1450,,
31,1994-5th ed,Food composition and Nutrition tables,D SFK,P,741,,+
32,1996,BLS-Bundeslebensmittel-schliissel II-2,D BLS,D,11000,+,
33,Greece,,,,,,
34,1992,Greek Food Composition Table,GK 92,P+D,764,+,
35,1994,Tabelle di composizione degli alimenti,IT 94,P,ca.400,+,
36,1998,Banca dati italiana di composizione degli alimenti,IT 98,P+D,ca.800,+,
37,,per studi epidemiologici,,,,,
38,The Netherlands,,,,,,
39,1996,NEVO Tabel-Nederlands voedingsstoffenbestand,NL 96,P+D,1476,+,
40,Spain,,,,,,
41,1988,Tablas de composicion de alimentos,E 88,P,543,+,
42,1990,Tablas de composicion de alimentos,E90,P,294,+,
43,1992,La composicion de los alimentos,E 92,P,234,,
44,1993,Tablas de composicion de alimentos espanoles,E 93,P,413,,
45,1996,Contenido de carotenoides en verduras y frutas de mayor,E carot,P,60,+,
46,,consumo en Espana,,,,,
47,1997,Tablas de composicion de alimentos espanoles,E97,P,68,+,
48,Sweden,,,,,,
49,1994 being updatedDBNY94: recipe and food database,1994 being updatedDBNY94: recipe and food database,S 94,D,1900,+,
50,1996,Food composition table -- Nutrients and Energy,S 96,P+D,1100,+,
