file,col,row,URI
KNSR2532_2,0,0,NIL
KNSR2532_2,0,1,http://www.wikidata.org/entity/Q66589561
KNSR2532_2,0,2,NIL
KNSR2532_2,0,3,http://www.wikidata.org/entity/Q66589547
KNSR2532_2,0,4,NIL
KNSR2532_2,0,5,http://www.wikidata.org/entity/Q1801668
KNSR2532_2,0,6,NIL
KNSR2532_2,0,7,http://www.wikidata.org/entity/Q66589555
KNSR2532_2,0,8,NIL
KNSR2532_2,0,9,http://www.wikidata.org/entity/Q66589552
KNSR2532_2,0,10,NIL
KNSR2532_2,0,11,http://www.wikidata.org/entity/Q66589553
KNSR2532_2,0,12,NIL
KNSR2532_2,0,13,http://www.wikidata.org/entity/Q66589564
KNSR2532_2,0,14,NIL
KNSR2532_2,0,15,http://www.wikidata.org/entity/Q66589550
KNSR2532_2,0,16,NIL
KNSR2532_2,0,17,http://www.wikidata.org/entity/Q66589554
KNSR2532_2,0,18,NIL
KNSR2532_2,0,19,http://www.wikidata.org/entity/Q178450
KNSR2532_2,0,20,NIL
KNSR2532_2,0,21,http://www.wikidata.org/entity/Q26997410
KNSR2532_2,0,22,NIL
KNSR2532_2,0,23,http://www.wikidata.org/entity/Q181136
KNSR2532_2,0,24,http://www.wikidata.org/entity/Q620730
KNSR2532_2,0,25,NIL
KNSR2532_2,0,26,http://www.wikidata.org/entity/Q66589545
KNSR2532_2,0,27,NIL
KNSR2532_2,0,28,http://www.wikidata.org/entity/Q485277
KNSR2532_2,0,29,NIL
KNSR2532_2,0,30,http://www.wikidata.org/entity/Q66589559
KNSR2532_2,0,31,NIL
KNSR2532_2,0,32,NIL
KNSR2532_2,0,33,NIL
KNSR2532_2,0,34,NIL
KNSR2532_2,0,35,http://www.wikidata.org/entity/Q9150056
KNSR2532_2,0,36,NIL
KNSR2532_2,0,37,NIL
KNSR2532_2,1,0,http://www.wikidata.org/entity/Q787401
KNSR2532_2,2,0,http://www.wikidata.org/entity/Q877536
KNSR2532_2,3,0,http://www.wikidata.org/entity/Q49984
KNSR2532_2,4,0,http://www.wikidata.org/entity/Q787401
KNSR2532_2,5,0,http://www.wikidata.org/entity/Q877536
KNSR2532_2,6,0,http://www.wikidata.org/entity/Q49984
KNSR2532_2,7,0,http://www.wikidata.org/entity/Q787401
KNSR2532_2,8,0,http://www.wikidata.org/entity/Q877536
KNSR2532_2,9,0,http://www.wikidata.org/entity/Q49984
KNSR2532_4,0,0,NIL
KNSR2532_4,0,1,http://www.wikidata.org/entity/Q658
KNSR2532_4,0,2,http://www.wikidata.org/entity/Q703
KNSR2532_4,0,3,http://www.wikidata.org/entity/Q674
KNSR2532_4,0,4,http://www.wikidata.org/entity/Q660
KNSR2532_4,0,5,http://www.wikidata.org/entity/Q706
KNSR2532_4,0,6,http://www.wikidata.org/entity/Q753
KNSR2532_4,0,7,http://www.wikidata.org/entity/Q677
KNSR2532_4,0,8,http://www.wikidata.org/entity/Q758
KNSR2532_4,0,9,http://www.wikidata.org/entity/Q731
KNSR2532_4,0,10,http://www.wikidata.org/entity/Q876
KNSR2532_4,0,11,http://www.wikidata.org/entity/Q658
KNSR2532_4,0,12,http://www.wikidata.org/entity/Q703
KNSR2532_4,0,13,http://www.wikidata.org/entity/Q674
KNSR2532_4,0,14,http://www.wikidata.org/entity/Q660
KNSR2532_4,0,15,http://www.wikidata.org/entity/Q706
KNSR2532_4,0,16,http://www.wikidata.org/entity/Q753
KNSR2532_4,0,17,http://www.wikidata.org/entity/Q677
KNSR2532_4,0,18,http://www.wikidata.org/entity/Q758
KNSR2532_4,0,19,http://www.wikidata.org/entity/Q731
KNSR2532_4,0,20,http://www.wikidata.org/entity/Q876
KNSR2532_4,0,21,http://www.wikidata.org/entity/Q658
KNSR2532_4,0,22,http://www.wikidata.org/entity/Q703
KNSR2532_4,0,23,http://www.wikidata.org/entity/Q674
KNSR2532_4,0,24,http://www.wikidata.org/entity/Q660
KNSR2532_4,0,25,http://www.wikidata.org/entity/Q706
KNSR2532_4,0,26,http://www.wikidata.org/entity/Q753
KNSR2532_4,0,27,http://www.wikidata.org/entity/Q677
